Plaza,PlazaName,Date,TotalCars
21,Catskill,2017-12-01,155660
21,Catskill,2017-12-02,141614
21,Catskill,2017-12-03,127564
21,Catskill,2017-12-04,140853
21,Catskill,2017-12-05,142742
21,Catskill,2017-12-06,112364
21,Catskill,2017-12-07,148473
21,Catskill,2017-12-08,154100
21,Catskill,2017-12-09,110059
21,Catskill,2017-12-17,125276
21,Catskill,2017-12-18,138652
21,Catskill,2017-12-19,145329
21,Catskill,2017-12-20,145004
21,Catskill,2017-12-21,147746
21,Catskill,2017-12-22,144044
21,Catskill,2017-12-23,117952
21,Catskill,2017-12-24,107320
21,Catskill,2017-12-25,107313
21,Catskill,2017-12-26,133003
21,Catskill,2017-12-27,137855
21,Catskill,2017-12-28,136537
21,Catskill,2017-12-29,137046
21,Catskill,2017-12-30,108413
21,Catskill,2017-12-31,97920
21,Catskill,2018-01-01,110224
21,Catskill,2018-01-02,129574
21,Catskill,2018-01-03,136213
21,Catskill,2018-01-04,50867
21,Catskill,2018-01-05,105945
21,Catskill,2018-01-06,100268
21,Catskill,2018-01-07,93844
21,Catskill,2018-01-08,97287
21,Catskill,2018-01-09,130422
21,Catskill,2018-01-10,134376
21,Catskill,2018-01-11,138337
21,Catskill,2018-01-12,140047
21,Catskill,2018-01-13,115383
21,Catskill,2018-01-14,112328
21,Catskill,2018-01-15,129411
21,Catskill,2018-01-16,134446
21,Catskill,2018-01-17,120157
21,Catskill,2018-01-18,137236
21,Catskill,2018-01-19,142569
21,Catskill,2018-01-20,129760
21,Catskill,2018-01-21,113114
21,Catskill,2018-01-22,132049
21,Catskill,2018-01-23,126824
21,Catskill,2018-01-24,133488
21,Catskill,2018-01-25,139383
21,Catskill,2018-01-26,144093
21,Catskill,2018-01-27,128928
21,Catskill,2018-01-28,113714
21,Catskill,2018-01-29,130792
21,Catskill,2018-01-30,126834
21,Catskill,2018-01-31,136646
21,Catskill,2018-02-01,142151
21,Catskill,2018-02-02,140754
21,Catskill,2018-02-03,126056
21,Catskill,2018-02-04,103851
21,Catskill,2018-02-05,132613
21,Catskill,2018-02-06,134778
21,Catskill,2018-02-07,119069
21,Catskill,2018-02-08,142112
21,Catskill,2018-02-09,148295
21,Catskill,2018-02-10,130634
21,Catskill,2018-02-11,108176
21,Catskill,2018-02-12,131573
21,Catskill,2018-02-13,137591
21,Catskill,2018-02-14,142989
21,Catskill,2018-02-15,143206
21,Catskill,2018-02-16,151303
21,Catskill,2018-02-17,126247
21,Catskill,2018-02-18,107366
21,Catskill,2018-02-19,120602
21,Catskill,2018-02-20,139763
21,Catskill,2018-02-21,142617
21,Catskill,2018-02-22,143076
21,Catskill,2018-02-23,111125
21,Catskill,2018-02-24,130928
21,Catskill,2018-02-25,116335
21,Catskill,2018-02-26,135871
21,Catskill,2018-02-27,139881
21,Catskill,2018-02-28,142459
21,Catskill,2018-03-01,148807
21,Catskill,2018-03-02,125046
21,Catskill,2018-03-03,135559
21,Catskill,2018-03-04,129107
21,Catskill,2018-03-05,136194
21,Catskill,2018-03-06,151858
21,Catskill,2018-03-07,71616
21,Catskill,2018-03-08,132660
21,Catskill,2018-03-09,156248
21,Catskill,2018-03-10,142362
21,Catskill,2018-03-11,131295
